,Brand,Model,Type,Seats,Price,Fuel,Transmission,Location
0,Tata,Nexon,SUV,5 Seater,1063000,Petrol,Manual,Hyderabad
1,Tata,Punch,SUV,5 Seater,990000,Petrol,Manual,Hyderabad
2,Hyundai,Grand i10 Nios,Hatchback,5 Seater,897000,Petrol,Manual,Hyderabad
3,Tata,Curvv EV,SUV,5 Seater,2123000,Electric,Automatic,Hyderabad
4,Hyundai,Aura,Sedan,5 Seater,982000,Petrol,Manual,Hyderabad
5,Tata,Altroz,Hatchback,5 Seater,1013000,CNG,Manual,Hyderabad
6,Hyundai,Venue,SUV,5 Seater,1540000,Diesel,Manual,Hyderabad
7,Hyundai,Creta,SUV,5 Seater,1522000,Petrol,Manual,Hyderabad
8,Hyundai,i20 N Line,Hatchback,5 Seater,1394000,Petrol,Manual,Hyderabad
9,Honda,Amaze (2021-2024),Sedan,5 Seater,1034000,Petrol,Automatic,Hyderabad
10,Honda,City,Sedan,5 Seater,1577000,Petrol,Manual,Hyderabad
11,Maruti,Suzuki XL6,SUV,6 Seater,1571000,CNG,Manual,Hyderabad
12,Maruti,Suzuki Ciaz,Sedan,5 Seater,1157000,Petrol,Manual,Hyderabad
13,Tata,Nexon EV,SUV,5 Seater,1811000,Electric,Automatic,Hyderabad
14,Maruti,Suzuki New Grand Vitara,SUV,5 Seater,1518000,Petrol,Manual,Hyderabad
15,Mahindra,Scorpio-N,SUV,7 Seater,1812000,Diesel,Manual,Hyderabad
16,Mahindra,XUV700,SUV,7 Seater,2290000,Diesel,Manual,Hyderabad
17,Toyota,Urban Cruiser Hyryder,SUV,5 Seater,1795000,Petrol,Manual,Hyderabad
18,Toyota,Glanza,Hatchback,5 Seater,1002999,Petrol,Automatic,Hyderabad
19,MG,ZS EV,SUV,5 Seater,2669000,Electric,Automatic,Hyderabad
20,MG,Hector Plus,SUV,7 Seater,2155000,Diesel,Manual,Hyderabad
21,MG,Hector,SUV,5 Seater,2048999,Petrol,Manual,Hyderabad
22,MG,Comet EV,Hatchback,4 Seater,864000,Electric,Automatic,Hyderabad
23,MG,Astor,SUV,5 Seater,1200000,Petrol,Manual,Hyderabad
24,Kia,Sonet,SUV,5 Seater,1905000,Diesel,Automatic,Hyderabad
25,Kia,Seltos,SUV,5 Seater,1923000,Petrol,Manual,Hyderabad
26,Kia,Carens,SUV,7 Seater,1378000,Petrol,Manual,Hyderabad
27,Toyota,Rumion,SUV,7 Seater,1300000,Petrol,Manual,Hyderabad
28,Skoda,Slavia,Sedan,5 Seater,1960000,Petrol,Manual,Hyderabad
29,Skoda,Kushaq,SUV,5 Seater,1353000,Petrol,Manual,Hyderabad
30,Honda,Elevate,SUV,5 Seater,2028000,Petrol,Automatic,Hyderabad
31,Hyundai,Exter,SUV,5 Seater,794000,Petrol,Manual,Hyderabad
32,Maruti,Suzuki Fronx,SUV,5 Seater,1054000,Petrol,Manual,Hyderabad
33,Hyundai,Verna,Sedan,5 Seater,1827000,Petrol,Manual,Hyderabad
34,Tata,Harrier,SUV,5 Seater,3220000,Diesel,Automatic,Hyderabad
35,Maruti,Suzuki Baleno,Hatchback,5 Seater,972000,Petrol,Automatic,Hyderabad
36,Maruti,Suzuki Celerio,Hatchback,5 Seater,714000,Petrol,Manual,Hyderabad
37,Tata,Punch EV,SUV,5 Seater,1361000,Electric,Automatic,Hyderabad
38,Hyundai,i20,Hatchback,5 Seater,941000,Petrol,Manual,Hyderabad
39,Mahindra,XUV 3XO,SUV,5 Seater,1374000,Diesel,Manual,Hyderabad
40,Maruti,Suzuki Alto K10,Hatchback,5 Seater,656000,Petrol,Manual,Hyderabad
41,Tata,Curvv,SUV,5 Seater,1459000,Petrol,Manual,Hyderabad
42,Maruti,Suzuki S-Presso,SUV,5 Seater,675000,Petrol,Manual,Hyderabad
43,Maruti,Suzuki Swift,Hatchback,5 Seater,1095000,Petrol,Manual,Hyderabad
44,Maruti,Suzuki Wagon R,Hatchback,5 Seater,770000,Petrol,Manual,Hyderabad
45,Hyundai,Creta N Line,SUV,5 Seater,2527000,Petrol,Automatic,Hyderabad
46,Toyota,Urban Cruiser Taisor,SUV,5 Seater,1080000,Petrol,Manual,Hyderabad
47,Tata,Safari,SUV,7 Seater,3265999,Diesel,Automatic,Hyderabad
48,Mahindra,Thar,SUV,4 Seater,2002000,Diesel,Manual,Hyderabad
49,Hyundai,Alcazar,SUV,6 Seater,2600000,Petrol,Automatic,Hyderabad
50,MG,Windsor EV,SUV,5 Seater,1510000,Electric,Automatic,Hyderabad
51,Nissan,Magnite,SUV,5 Seater,805000,Petrol,Automatic,Hyderabad
52,Maruti,Suzuki Dzire,Sedan,5 Seater,1082000,Petrol,Manual,Hyderabad
53,Tata,Nexon,SUV,5 Seater,1036999,Petrol,Manual,Mumbai
54,Maruti,Suzuki Baleno,Hatchback,5 Seater,969999,CNG,Manual,Mumbai
55,Tata,Punch,SUV,5 Seater,729000,Petrol,Manual,Mumbai
56,Maruti,Suzuki Swift,Hatchback,5 Seater,857000,Petrol,Manual,Mumbai
57,Hyundai,Grand i10 Nios,Hatchback,5 Seater,948000,Petrol,Automatic,Mumbai
58,Hyundai,Aura,Sedan,5 Seater,959000,CNG,Manual,Mumbai
59,Maruti,Suzuki Wagon R,Hatchback,5 Seater,759000,CNG,Manual,Mumbai
60,Tata,Altroz,Hatchback,5 Seater,780000,Petrol,Manual,Mumbai
61,Renault,Kiger,SUV,5 Seater,1043000,Petrol,Manual,Mumbai
62,Hyundai,Venue,SUV,5 Seater,1240000,Petrol,Manual,Mumbai
63,Toyota,Glanza,Hatchback,5 Seater,859000,Petrol,Manual,Mumbai
64,Renault,Triber,MPV,7 Seater,717000,Petrol,Manual,Mumbai
65,Maruti,Suzuki Celerio,Hatchback,5 Seater,679000,Petrol,Manual,Mumbai
66,Hyundai,Creta,SUV,5 Seater,1816000,Diesel,Manual,Mumbai
67,Maruti,Suzuki Dzire,Sedan,5 Seater,816000,Petrol,Manual,Mumbai
68,Renault,Kwid,Hatchback,5 Seater,600000,Petrol,Manual,Mumbai
69,Maruti,Suzuki XL6,SUV,6 Seater,1404000,Petrol,Manual,Mumbai
70,Honda,Amaze,Sedan,5 Seater,1091000,Petrol,Manual,Mumbai
71,Mahindra,XUV700,SUV,7 Seater,2036000,Petrol,Manual,Mumbai
72,Honda,City,Sedan,5 Seater,1714000,Petrol,Automatic,Mumbai
73,Hyundai,i20 N Line,Hatchback,5 Seater,1476000,Petrol,Automatic,Mumbai
74,Mahindra,Scorpio-N,SUV,7 Seater,1962000,Diesel,Manual,Mumbai
75,Tata,Nexon EV,SUV,5 Seater,1573000,Electric,Automatic,Mumbai
76,Hyundai,Venue N-Line,SUV,5 Seater,1642000,Petrol,Automatic,Mumbai
77,Maruti,Suzuki New Grand Vitara,SUV,5 Seater,1730999,CNG,Manual,Mumbai
78,Toyota,Urban Cruiser Hyryder,SUV,5 Seater,1368000,Petrol,Manual,Mumbai
79,MG,Astor,SUV,5 Seater,1462000,Petrol,Manual,Mumbai
80,Volkswagen,Taigun,SUV,5 Seater,2346000,Petrol,Automatic,Mumbai
81,Kia,Carens,SUV,7 Seater,1559000,Diesel,Manual,Mumbai
82,Toyota,Rumion,SUV,7 Seater,1255000,Petrol,Manual,Mumbai
83,Kia,Seltos,SUV,5 Seater,1501000,Petrol,Manual,Mumbai
84,Hyundai,Exter,SUV,5 Seater,984000,Petrol,Automatic,Mumbai
85,Maruti,Suzuki Fronx,SUV,5 Seater,1376000,Petrol,Manual,Mumbai
86,Kia,Sonet,SUV,5 Seater,1013000,Petrol,Manual,Mumbai
87,MG,Comet EV,Hatchback,4 Seater,902000,Electric,Automatic,Mumbai
88,Hyundai,Verna,Sedan,5 Seater,1946000,Petrol,Automatic,Mumbai
89,Tata,Harrier,SUV,5 Seater,1911000,Diesel,Manual,Mumbai
90,Mahindra,XUV400,SUV,5 Seater,1893000,Electric,Automatic,Mumbai
91,MG,Hector,SUV,5 Seater,2480000,Petrol,Manual,Mumbai
92,MG,Hector Plus,SUV,7 Seater,2715000,Petrol,Automatic,Mumbai
93,MG,ZS EV,SUV,5 Seater,2068000,Electric,Automatic,Mumbai
94,Volkswagen,Virtus,Sedan,5 Seater,1802000,Petrol,Automatic,Mumbai
95,Skoda,Slavia,Sedan,5 Seater,1803000,Petrol,Automatic,Mumbai
96,Skoda,Kushaq,SUV,5 Seater,1306000,Petrol,Manual,Mumbai
97,Honda,Elevate,SUV,5 Seater,1829000,Petrol,Automatic,Mumbai
98,Mahindra,XUV 3XO,SUV,5 Seater,1390000,Diesel,Manual,Mumbai
99,Maruti,Suzuki S-Presso,SUV,5 Seater,618000,Petrol,Manual,Mumbai
100,Hyundai,Creta N Line,SUV,5 Seater,2460000,Petrol,Automatic,Mumbai
101,Maruti,Suzuki Ignis,Hatchback,5 Seater,867000,Petrol,Automatic,Mumbai
